                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                0.31047,                0.60038,                0.99822,                0.76852,                 0.7271,                0.78286,                0.74071,                0.33058,                0.88519,                0.98966,               0.004852,               0.004852,               0.004852
                     54,                0.30982,                 0.5952,                0.99831,                0.74477,                0.74351,                0.77665,                0.73512,                 0.3314,                0.93425,                0.99041,               0.004753,               0.004753,               0.004753
                     55,                0.30781,                0.58363,                0.99727,                0.80034,                0.71563,                0.79467,                0.75377,                0.31943,                0.85912,                0.98512,               0.004654,               0.004654,               0.004654
                     56,                 0.3084,                0.58695,                0.99612,                0.75516,                0.71288,                0.77499,                0.73337,                 0.3254,                0.87963,                0.98772,               0.004555,               0.004555,               0.004555
                     57,                0.30614,                0.57261,                0.99796,                0.71264,                0.78201,                0.78732,                0.74913,                0.31699,                 0.8643,                0.97183,               0.004456,               0.004456,               0.004456
                     58,                0.30156,                0.56662,                0.99446,                0.79817,                0.70407,                0.79396,                 0.7577,                0.30813,                0.83465,                0.97197,               0.004357,               0.004357,               0.004357
                     59,                 0.3024,                0.56732,                0.99416,                0.76901,                0.73113,                0.78269,                 0.7434,                0.31029,                0.84424,                0.97162,               0.004258,               0.004258,               0.004258
                     60,                0.29653,                0.55375,                0.99091,                0.77282,                0.71907,                0.78632,                 0.7525,                0.30844,                0.84603,                0.96851,               0.004159,               0.004159,               0.004159
                     61,                0.29497,                0.53701,                0.98802,                0.76836,                0.75571,                0.78786,                0.74599,                0.31831,                0.86751,                0.97564,                0.00406,                0.00406,                0.00406
                     62,                0.29006,                 0.5384,                 0.9858,                0.71232,                0.80602,                0.79064,                0.76411,                0.30658,                0.87441,                0.95686,               0.003961,               0.003961,               0.003961
                     63,                 0.2943,                0.53019,                0.98876,                0.76488,                0.74784,                 0.7951,                0.75529,                0.30634,                0.83444,                0.96691,               0.003862,               0.003862,               0.003862
                     64,                0.28626,                0.51717,                0.98334,                0.78028,                0.74466,                0.79508,                0.75461,                0.30881,                0.84776,                0.97106,               0.003763,               0.003763,               0.003763
                     65,                0.28658,                0.52163,                 0.9837,                0.78728,                0.71099,                0.79102,                0.74846,                0.31725,                0.89726,                 0.9858,               0.003664,               0.003664,               0.003664
                     66,                0.28558,                0.51074,                0.98103,                0.76989,                0.74566,                0.78567,                0.74506,                0.31482,                0.86629,                 0.9809,               0.003565,               0.003565,               0.003565
                     67,                0.27849,                0.50785,                0.97827,                 0.7574,                0.78426,                 0.8009,                0.76749,                0.30785,                0.84053,                0.96702,               0.003466,               0.003466,               0.003466
                     68,                0.27705,                 0.4892,                0.97797,                0.78384,                0.75696,                0.79575,                0.75892,                0.30542,                0.84703,                0.96907,               0.003367,               0.003367,               0.003367
                     69,                 0.2761,                0.48961,                0.98136,                0.75374,                0.76575,                0.78068,                0.74326,                0.30882,                0.85292,                0.97653,               0.003268,               0.003268,               0.003268
                     70,                0.27116,                0.47955,                0.97566,                0.75433,                0.75116,                0.77609,                 0.7415,                0.31089,                 0.9059,                0.96599,               0.003169,               0.003169,               0.003169
                     71,                0.27122,                0.46918,                0.97669,                   0.74,                0.75852,                0.78724,                0.74972,                0.31617,                0.90374,                0.97867,                0.00307,                0.00307,                0.00307
                     72,                0.26812,                0.47688,                0.97402,                0.77674,                0.75144,                0.79188,                0.75889,                0.30066,                0.84125,                0.96125,               0.002971,               0.002971,               0.002971
                     73,                0.27016,                0.45922,                0.97645,                0.72814,                 0.7821,                0.78403,                0.74753,                0.31017,                0.86794,                0.96973,               0.002872,               0.002872,               0.002872
                     74,                0.26766,                0.45907,                0.97521,                0.77085,                0.72795,                0.79149,                0.75451,                0.31004,                0.86005,                0.97005,               0.002773,               0.002773,               0.002773
                     75,                0.25836,                0.44433,                0.96844,                0.77879,                0.73384,                0.78715,                0.75245,                0.30574,                0.87329,                0.96507,               0.002674,               0.002674,               0.002674
                     76,                0.25461,                0.44331,                0.96577,                0.76518,                0.76429,                0.78919,                0.75157,                0.30128,                0.88376,                 0.9589,               0.002575,               0.002575,               0.002575
                     77,                0.25552,                0.44211,                0.96783,                0.75158,                0.79769,                0.79209,                0.75807,                0.29342,                0.87071,                 0.9469,               0.002476,               0.002476,               0.002476
